date,area,average_price,code,houses_sold,no_of_crimes
2010-02-01,barnet,318995,E09000003,272.0,2174.0
2010-03-01,barnet,324873,E09000003,321.0,2277.0
2010-04-01,barnet,327955,E09000003,260.0,2038.0
2010-05-01,barnet,331168,E09000003,333.0,2098.0
2010-06-01,barnet,330965,E09000003,400.0,2273.0
2010-07-01,barnet,336380,E09000003,424.0,2182.0
2010-08-01,barnet,341812,E09000003,425.0,2059.0
2010-09-01,barnet,347747,E09000003,395.0,2156.0
2010-10-01,barnet,344010,E09000003,374.0,2252.0
2010-11-01,barnet,341702,E09000003,368.0,2171.0
2010-12-01,barnet,335004,E09000003,303.0,1921.0
2011-01-01,barnet,337575,E09000003,246.0,2194.0
2011-02-01,barnet,339623,E09000003,231.0,2047.0
2011-03-01,barnet,345258,E09000003,298.0,2316.0
2011-04-01,barnet,340441,E09000003,250.0,2243.0
2011-05-01,barnet,335305,E09000003,295.0,2326.0
2011-06-01,barnet,330259,E09000003,322.0,2338.0
2011-07-01,barnet,332255,E09000003,372.0,2352.0
2011-08-01,barnet,334216,E09000003,374.0,2096.0
